id,name,birth,rating,noOfTimesRated
418078,Tom Jansen,1945,5,5
560732,Armando Matías Guiu,1925,4,1
2671944,Cristián Carvajal,1977,3,1
250215,Meredith Edwards,1917,1,1
7360585,Inna Bakelman,1989,2,1
766291,Yuka Sato,1973,1,1
7477442,Jason Stange,1970,4,1
550728,Alan Marshall,1938,2,2
1276051,Benjamin Jackendoff,1980,1,4
755723,Shigeaki Saegusa,1942,0,0
3900613,Chase Layman,1985,0,0
2180,Francesca Archibugi,1960,0,0
322242,Jonathan Glazer,1965,0,0
510370,Valerie Lilley,1939,0,0
415283,Claude Jade,1948,0,0
72347,Paul Bens,1964,0,0
1899712,Giles Daoust,1979,0,0
1847314,Asli Sahin,1979,0,0
361448,Lena T. Hansson,1955,0,0
355227,Kristian Halken,1955,0,0
2845677,Otis Clements,1926,0,0
4255626,Irving Sandler,1925,0,0
894382,Peter Vermeersch,1959,0,0
2888228,Lior Liebling,1991,0,0
336828,Michael Gray,1964,0,0
15558,Vitali Aksyonov,1931,0,0
114208,Mark Alton Brown,1955,0,0
482511,Peter Lalonde,1960,0,0
17450,Charles Bernstein,1943,0,0
2893389,Adelaida Buscato,1985,0,0
502215,J.U. Lensing,1960,0,0
4372,Gary Graver,1938,0,0
119033,Mladen Budiscak,1947,0,0
1304543,Nathan 'Karma' Cox,1971,0,0
643350,Suresh Oberoi,1946,0,0
747155,Reena Roy,1957,0,0
490402,Matt Lattanzi,1959,0,0
740661,Sandra Roque,1971,0,0
9785782,Nicolas Dibla,1985,0,0
442859,Nicola Kawana,1970,0,0
1017994,Justin Fletcher,1970,0,0
988351,Cory Taylor,1965,0,0
913700,Ron Wasserman,1961,0,0
1728080,Sonny Vellozzi,1953,0,0
592782,Akhilendra Mishra,1962,0,0
1018613,Nikolai Nikiforov,1938,0,0
674114,Dusan Perkovic,1926,0,0
758103,Miguel Sales Lopes,1970,0,0
3041147,Núria Deulofeu,1989,0,0
1540918,Oleg Pungin,1968,0,0
517344,Paola Loew,1934,0,0
109717,Thomas Brinx,1963,0,0
5065607,Percy Meza,1992,0,0
3773347,Kevin B Hartley,1964,0,0
3234852,Brandon Cater,1984,0,0
5767,Edward Lachman,1948,0,0
599341,Davide Montemurri,1930,0,0
2547744,Erzsébet Rácz,1971,0,0
773165,Renate Schmidt,1942,0,0
231983,Raechel Donahue,1952,0,0
642456,Karri O'Reilly,1969,0,0
2673461,Liam Garvo,1977,0,0
1298021,José Vicente Asuar,1933,0,0
184288,Charlélie Couture,1956,0,0
192007,Jack Cummins,1948,0,0
1292847,Bernice Liu,1979,0,0
2090,Zach Galligan,1964,0,0
951134,Vadim Yusov,1929,0,0
539820,George Malko,1935,0,0
1304603,Kourosh Davarkhah,1953,0,0
1639236,Shaun Springer,1978,0,0
189484,Avery Crounse,1951,0,0
3045616,Robert Ewing,1983,0,0
1132340,Guillaume Godard,1962,0,0
1514822,Norihito Kaneko,1978,0,0
72533,Jodi Benson,1961,0,0
453580,Ki-duk Kim,1934,0,0
3576327,Wei Gan,1984,0,0
251490,Brett Eichenberger,1975,0,0
4549555,Deborah Meister,1990,0,0
850894,Tatyana Tashkova,1956,0,0
1036449,Katalin Dobos,1953,0,0
817023,Nicholas Sparks,1965,0,0
241577,Petru Dumitriu,1926,0,0
2864554,Geraldo Rodrigues,1984,0,0
3223778,Oodgeroo Noonuccal,1920,0,0
1458360,Luca Di Fulvio,1957,0,0
683424,Herb Pilhofer,1931,0,0
906694,Shiho Wakabayashi,1971,0,0
1812836,Louise Hart,1979,0,0
1934700,Daniel Rakete Siegel,1980,0,0
2650334,Kevin Jonas,1987,0,0
365035,Lynette Harris,1954,0,0
989403,György Jakab,1950,0,0
1033499,Kamen Vodenicharov,1966,0,0
1648091,Philip J. Corso,1915,0,0
7259082,Quinn Sheehan,1999,0,0
1006907,Andrea Dworkin,1946,0,0
1124782,Ann Hu,1976,0,0
948124,Gloria Yip,1973,0,0
48137,Kostas Bakalis,1942,0,0
530622,Pål Løkkeberg,1934,0,0
1426656,Marcus Johns,1993,0,0
2964204,Mike Shelton,1979,0,0
710530,B. Narayan Rao,1908,0,0
2037,Cliff De Young,1945,0,0
806348,Jimmy Slyde,1927,0,0
374265,Raoul W. Heimrich,1964,0,0
818785,Michael Spiller,1961,0,0
89490,Chelsea Blue,1976,0,0
3150050,Brandi Aguilar,1989,0,0
3093034,Alesya Pukhovaya,1975,0,0
632137,Peter Nilson,1937,0,0
1187149,Monica Anghel,1971,0,0
5725986,Anna Kanaris,1985,0,0
394735,Gábor Horkai,1967,0,0
529442,András Lányi,1948,0,0
2783254,Imre Makovecz,1935,0,0
936123,Franz Winzentsen,1939,0,0
542301,Sune Mangs,1932,0,0
511950,Gunnar 'Knas' Lindkvist,1916,0,0
106920,Zuzana Brejcha,1953,0,0
504335,Len Lesser,1922,0,0
1408971,Bárbara Muñoz,1983,0,0
2843092,Kristina Ellery,1985,0,0
269515,Michele Fawdon,1947,0,0
1072901,Stephen Fromkin,1972,0,0
5109620,Anna Boettcher,1986,0,0
5883050,Dustin Tittle,1984,0,0
1727738,Johnnie Oberg Jr.,1979,0,0
202480,Madeleine Dauzart,1950,0,0
21456,Keith Allison,1942,0,0
306320,Manolo García,1933,0,0
941185,Guy Woolfenden,1937,0,0
796665,Henry Sidoli,1930,0,0
2668783,Ari Wibowo,1970,0,0
779737,Rodney Scott,1978,0,0
857806,Jack Thibeau,1946,0,0
9236879,Agata Klimovich,1993,0,0
5771,Franz Xaver Lederle,1931,0,0
270849,Ferenc Fekete,1914,0,0
1729121,Eiichirô Hasumi,1967,0,0
35636,Bridget Armstrong,1937,0,0
524217,Laurent Lucas,1965,0,0
1114194,Paul Henderson,1967,0,0
1802746,Tünde Novák,1963,0,0
2145177,Alexia Fast,1992,0,0
583800,Theo Mezger,1923,0,0
1108319,Kofi Annan,1938,0,0
6916719,Jun-yeol Ryu,1986,0,0
276883,Adonias Filho,1915,0,0
376546,Meredith Henderson,1983,0,0
1268815,Richard Holbrooke,1941,0,0
757663,Abel Salazar,1917,0,0
344994,Peter Grönvall,1963,0,0
671862,Roger Vadim,1928,0,0
828176,Steve Gallon,1925,0,0
3743093,Seth Graves,1978,0,0
598750,Ralph Montagu,1961,0,0
1922265,Marcela Del Valle,1980,0,0
4680788,Ludovic Coutaud,1991,0,0
649217,Ingrid Oppermann,1942,0,0
4947229,Jeff Trink,1968,0,0
531021,John Maass,1960,0,0
249500,Louis Edmonds,1923,0,0
93854,Andrei Boncea,1972,0,0
38335,Yoshitaka Asama,1940,0,0
1495469,Kathleen Aerts,1978,0,0
148441,Ratiborka Ceramilac,1947,0,0
522943,George Lowe,1924,0,0
868289,Danil Torppe,1951,0,0
862857,Thomas Tielsch,1953,0,0
894785,Rodrigo Veronese,1970,0,0
1601875,Franck Guérin,1972,0,0
122260,Tam Dean Burn,1958,0,0
227042,Mick Dillon,1926,0,0
1507188,Anita Szvrcsek,1977,0,0
3836404,Gaspard Augé,1979,0,0
509659,Kris Lienert,1967,0,0
557786,Turkka Mastomäki,1970,0,0
471571,Mona Kristensen,1950,0,0
544377,Monika Manz,1947,0,0
5346909,Pantelis Kalatzis,1984,0,0
283377,Per Fly,1960,0,0
3698352,Dan Uzan,1979,0,0
716295,Scott Reeves,1966,0,0
8682564,Yehosua Elizalde,1996,0,0
156928,Minoru Chiaki,1917,0,0
4595689,Tommy Nelms,1987,0,0
4119247,Bronislav Kotis,1972,0,0
286715,Brent Forrester,1967,0,0
1199888,Sasha Pieterse,1996,0,0
1588133,Obid Asomov,1963,0,0
16107,Viridiana Alatriste,1963,0,0
295473,Peter Friedrichson,1946,0,0
2181816,Jim Barfield,1953,0,0
283510,Joni Flynn,1949,0,0
485014,Luis Landriscina,1935,0,0
1481864,Wolfgang Mittendorfer,1972,0,0
103977,Brahmanandam,1956,0,0
2056203,Madison J. Loos,1993,0,0
2081341,Mia Moretti,1984,0,0
272293,Anna Ferencová,1927,0,0
458039,Björn Kjellman,1963,0,0
